"","rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
"288",2811,2,1,1,10,"次卧","中楼层","是","朝阳","自采暖"
"289",3591,2,1,1,12,"次卧","高楼层","是","丰台","集中供暖"
"290",2336,4,1,1,10,"次卧","中楼层","否","顺义","集中供暖"
"291",2140,3,1,1,10,"主卧","低楼层","是","大兴","集中供暖"
"292",2544,4,1,1,9,"次卧","高楼层","是","海淀","自采暖"
"293",2592,4,1,1,10,"次卧","高楼层","是","昌平","自采暖"
"294",2794,3,1,1,17,"次卧","高楼层","是","朝阳","集中供暖"
"295",3841,2,1,1,10,"次卧","高楼层","是","朝阳","集中供暖"
"296",2745,4,1,1,25,"主卧","低楼层","是","昌平","集中供暖"
"297",3405,2,1,1,10,"次卧","低楼层","是","顺义","自采暖"
"298",3520,4,1,2,21,"主卧","中楼层","否","东城","集中供暖"
"299",2404,3,1,1,11,"次卧","低楼层","是","大兴","集中供暖"
"300",2298,3,1,1,9,"主卧","中楼层","否","丰台","集中供暖"
"301",2510,3,1,1,14,"主卧","中楼层","是","大兴","集中供暖"
"302",2461,3,1,1,13,"主卧","中楼层","是","大兴","集中供暖"
"303",2730,2,1,1,13,"次卧","高楼层","是","石景山","集中供暖"
"304",2302,3,1,1,14,"主卧","高楼层","是","通州","集中供暖"
"305",2309,3,1,1,18,"主卧","高楼层","是","顺义","集中供暖"
"306",2704,2,1,1,12,"次卧","低楼层","是","通州","自采暖"
"307",2831,2,1,1,14,"主卧","高楼层","是","朝阳","集中供暖"
"308",2284,4,1,1,12,"次卧","高楼层","否","大兴","集中供暖"
"309",2537,3,1,1,9,"次卧","中楼层","是","昌平","集中供暖"
"310",3382,4,1,1,15,"主卧","高楼层","否","海淀","集中供暖"
"311",2577,3,1,1,12,"次卧","高楼层","是","朝阳","自采暖"
"312",2215,2,1,1,10,"次卧","低楼层","否","通州","集中供暖"
"313",3668,4,1,1,16,"主卧","低楼层","是","海淀","集中供暖"
"314",2662,4,1,1,8,"次卧","中楼层","否","海淀","集中供暖"
"315",4188,2,1,1,13,"次卧","中楼层","是","西城","集中供暖"
"316",3243,5,1,1,18,"主卧","低楼层","是","朝阳","自采暖"
"317",4331,2,1,1,18,"主卧","高楼层","是","海淀","集中供暖"
"318",2647,3,1,1,12,"次卧","中楼层","否","昌平","集中供暖"
"319",2418,4,1,1,11,"次卧","低楼层","是","大兴","集中供暖"
"320",3274,2,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
"321",2391,3,1,1,12,"次卧","低楼层","是","大兴","集中供暖"
"322",3350,3,1,1,14,"主卧","中楼层","是","朝阳","集中供暖"
"323",1971,2,1,1,9,"次卧","高楼层","是","顺义","集中供暖"
"324",4550,2,1,1,17,"主卧","高楼层","是","朝阳","集中供暖"
"325",3019,3,1,1,8,"次卧","中楼层","是","海淀","自采暖"
"326",3185,2,1,1,15,"主卧","低楼层","是","石景山","集中供暖"
"327",2627,3,1,1,7,"次卧","中楼层","是","海淀","集中供暖"
"328",3586,3,1,1,22,"主卧","低楼层","是","通州","集中供暖"
"329",3531,3,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
"330",2691,3,1,1,10,"次卧","高楼层","否","石景山","集中供暖"
"331",3842,2,1,1,18,"主卧","低楼层","是","朝阳","集中供暖"
"332",3559,4,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
"333",4411,2,1,1,13,"次卧","中楼层","是","海淀","集中供暖"
"334",1863,4,1,1,12,"主卧","低楼层","是","房山","集中供暖"
"335",2673,2,1,1,13,"次卧","高楼层","是","丰台","集中供暖"
"336",4144,3,1,1,24,"主卧","低楼层","是","通州","集中供暖"
"337",2240,4,1,1,14,"主卧","高楼层","是","丰台","自采暖"
"338",3213,4,1,1,12,"次卧","中楼层","是","朝阳","集中供暖"
"339",2361,3,1,1,8,"次卧","高楼层","是","顺义","集中供暖"
"340",2364,3,1,1,12,"次卧","低楼层","是","通州","集中供暖"
"341",2682,2,1,1,8,"次卧","高楼层","是","丰台","集中供暖"
"342",2583,3,1,1,9,"次卧","中楼层","是","丰台","集中供暖"
"343",3143,2,1,1,15,"主卧","中楼层","是","石景山","集中供暖"
"344",2530,3,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
"345",2257,2,1,1,11,"次卧","低楼层","是","大兴","集中供暖"
"346",2665,3,1,1,18,"主卧","中楼层","否","丰台","集中供暖"
"347",2082,3,1,1,9,"次卧","中楼层","是","大兴","集中供暖"
"348",2527,3,1,1,12,"主卧","高楼层","是","昌平","集中供暖"
"349",2700,3,1,1,9,"次卧","低楼层","是","昌平","集中供暖"
"350",3320,4,1,1,16,"主卧","高楼层","是","丰台","集中供暖"
"351",3006,2,1,1,10,"次卧","中楼层","是","丰台","集中供暖"
"352",3252,2,1,1,19,"主卧","中楼层","是","朝阳","集中供暖"
"353",2292,3,1,1,12,"次卧","中楼层","是","通州","集中供暖"
"354",2338,4,1,1,10,"次卧","中楼层","是","通州","集中供暖"
"355",2710,3,1,1,19,"主卧","中楼层","是","顺义","集中供暖"
"356",3585,2,1,1,17,"主卧","中楼层","是","朝阳","集中供暖"
"357",1957,4,1,1,18,"次卧","高楼层","是","房山","自采暖"
"358",4712,2,1,1,18,"主卧","中楼层","是","西城","集中供暖"
"359",2469,3,1,1,14,"主卧","低楼层","是","顺义","集中供暖"
"360",3704,2,1,1,17,"主卧","低楼层","是","西城","集中供暖"
"361",2193,3,1,1,13,"主卧","中楼层","是","通州","集中供暖"
"362",4507,3,1,1,11,"次卧","高楼层","是","朝阳","集中供暖"
"363",2726,3,1,1,11,"次卧","高楼层","是","丰台","集中供暖"
"364",3477,3,1,1,11,"主卧","中楼层","否","朝阳","集中供暖"
"365",2455,3,1,1,11,"主卧","低楼层","否","通州","集中供暖"
"366",2589,3,1,1,12,"次卧","高楼层","是","通州","集中供暖"
"367",3186,2,1,1,13,"主卧","高楼层","是","丰台","集中供暖"
"368",2839,2,1,1,14,"次卧","高楼层","是","昌平","集中供暖"
"369",3211,2,1,1,19,"主卧","高楼层","是","石景山","集中供暖"
"370",3368,3,1,1,12,"主卧","高楼层","是","东城","集中供暖"
"371",2603,3,1,1,17,"主卧","高楼层","是","通州","集中供暖"
"372",4468,2,1,1,19,"主卧","低楼层","是","朝阳","集中供暖"
"373",4328,3,1,1,14,"主卧","低楼层","是","朝阳","自采暖"
